id,text,emotion,matchup_key,stickerurl,stickername,remark
1,哈囉,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339454/android/sticker.png,秘密貓日常33 愛心發送囉,
2,喔喔,驚訝,手機,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339455/android/sticker.png,秘密貓日常33 愛心發送囉,
3,呵呵,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339456/android/sticker.png,秘密貓日常33 愛心發送囉,
4,啊,崩潰,拔毛,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339457/android/sticker.png,秘密貓日常33 愛心發送囉,
,下一站,開心,路牌,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339458/android/sticker.png,秘密貓日常33 愛心發送囉,
,幸福,開心,愛心,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339459/android/sticker.png,秘密貓日常33 愛心發送囉,
,靠你囉,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339460/android/sticker.png,秘密貓日常33 愛心發送囉,
,OK,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339461/android/sticker.png,秘密貓日常33 愛心發送囉,
,愛心發送,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339462/android/sticker.png,秘密貓日常33 愛心發送囉,
,收到,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339463/android/sticker.png,秘密貓日常33 愛心發送囉,
,thank you,開心,氣球,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339464/android/sticker.png,秘密貓日常33 愛心發送囉,
,太好了,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339465/android/sticker.png,秘密貓日常33 愛心發送囉,
,,開心,愛心,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339466/android/sticker.png,秘密貓日常33 愛心發送囉,
,抱緊處理,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339467/android/sticker.png,秘密貓日常33 愛心發送囉,
,,開心,愛心,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339468/android/sticker.png,秘密貓日常33 愛心發送囉,
,給你滿滿的愛,開心,"愛心,箱子",https://stickershop.line-scdn.net/stickershop/v1/sticker/559339469/android/sticker.png,秘密貓日常33 愛心發送囉,
,你是小朋友嗎,質疑,棒棒糖,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339470/android/sticker.png,秘密貓日常33 愛心發送囉,
,"嗯嗯,是呀",開心,點頭,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339471/android/sticker.png,秘密貓日常33 愛心發送囉,
,"不可否認,事實無誤,40無誤",,"40,牌子",https://stickershop.line-scdn.net/stickershop/v1/sticker/559339472/android/sticker.png,秘密貓日常33 愛心發送囉,
,夠了喔,生氣,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339473/android/sticker.png,秘密貓日常33 愛心發送囉,
,sorry,傷心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339474/android/sticker.png,秘密貓日常33 愛心發送囉,
,我怕怕啦,崩潰,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339475/android/sticker.png,秘密貓日常33 愛心發送囉,
,不想理你了啦,生氣,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339476/android/sticker.png,秘密貓日常33 愛心發送囉,
,不要丟下我啦,傷心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339477/android/sticker.png,秘密貓日常33 愛心發送囉,
,"不哭,不哭不哭",傷心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339478/android/sticker.png,秘密貓日常33 愛心發送囉,
,love,開心,雲,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339479/android/sticker.png,秘密貓日常33 愛心發送囉,
,"好嘛,好嘛好嘛",,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339480/android/sticker.png,秘密貓日常33 愛心發送囉,
,"嗶嗶,不可以喲,不可以喔",失望,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339481/android/sticker.png,秘密貓日常33 愛心發送囉,
,好可憐,傷心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339482/android/sticker.png,秘密貓日常33 愛心發送囉,
,大笨蛋,生氣,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339483/android/sticker.png,秘密貓日常33 愛心發送囉,
,一切都是誤會啊,"緊張,生氣",,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339484/android/sticker.png,秘密貓日常33 愛心發送囉,
,很生氣捏,生氣,火,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339485/android/sticker.png,秘密貓日常33 愛心發送囉,
,接住我的愛,開心,愛心,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339486/android/sticker.png,秘密貓日常33 愛心發送囉,
,,開心,"愛心,啾,飛吻",https://stickershop.line-scdn.net/stickershop/v1/sticker/559339487/android/sticker.png,秘密貓日常33 愛心發送囉,
,愛你,開心,"愛心,印章",https://stickershop.line-scdn.net/stickershop/v1/sticker/559339488/android/sticker.png,秘密貓日常33 愛心發送囉,
,咪兔,開心,"愛心,印章",https://stickershop.line-scdn.net/stickershop/v1/sticker/559339489/android/sticker.png,秘密貓日常33 愛心發送囉,
,約會啦,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339490/android/sticker.png,秘密貓日常33 愛心發送囉,
,早安唷,開心,太陽,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339491/android/sticker.png,秘密貓日常33 愛心發送囉,
,晚安囉,開心,睡衣,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339492/android/sticker.png,秘密貓日常33 愛心發送囉,
,與你同在,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/559339493/android/sticker.png,秘密貓日常33 愛心發送囉,
,OK,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087430/android/sticker.png,秘密貓日常34 畫風崩壞中,
,嗯,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087431/android/sticker.png,秘密貓日常34 畫風崩壞中,
,謝謝,開心,花,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087432/android/sticker.png,秘密貓日常34 畫風崩壞中,
,因為高興啊,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087433/android/sticker.png,秘密貓日常34 畫風崩壞中,
,嗨,開心,四葉草,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087434/android/sticker.png,秘密貓日常34 畫風崩壞中,
,畫風逐漸崩壞,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087435/android/sticker.png,秘密貓日常34 畫風崩壞中,
,感覺不錯,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087436/android/sticker.png,秘密貓日常34 畫風崩壞中,
,笑爛,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087437/android/sticker.png,秘密貓日常34 畫風崩壞中,
,想吃,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087438/android/sticker.png,秘密貓日常34 畫風崩壞中,
,還好ㄟ,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087439/android/sticker.png,秘密貓日常34 畫風崩壞中,
,我只是一灘爛泥,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087440/android/sticker.png,秘密貓日常34 畫風崩壞中,
,不確定耶,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087441/android/sticker.png,秘密貓日常34 畫風崩壞中,
,煩ㄟ,生氣,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087442/android/sticker.png,秘密貓日常34 畫風崩壞中,
,什麼事也不想做,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087443/android/sticker.png,秘密貓日常34 畫風崩壞中,
,只想靜靜的耍廢,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087444/android/sticker.png,秘密貓日常34 畫風崩壞中,
,沒救了,傷心,冰淇淋,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087445/android/sticker.png,秘密貓日常34 畫風崩壞中,
,我愛我的工作,傷心,筆電,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087446/android/sticker.png,秘密貓日常34 畫風崩壞中,
,真假,驚訝,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087447/android/sticker.png,秘密貓日常34 畫風崩壞中,
,強烈懷疑,懷疑,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087448/android/sticker.png,秘密貓日常34 畫風崩壞中,
,棒棒,開心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087449/android/sticker.png,秘密貓日常34 畫風崩壞中,
,人生好難,傷心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087450/android/sticker.png,秘密貓日常34 畫風崩壞中,
,錢錢很難賺的,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087451/android/sticker.png,秘密貓日常34 畫風崩壞中,
,缺摳摳,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087452/android/sticker.png,秘密貓日常34 畫風崩壞中,
,傷腦筋捏,傷心,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087453/android/sticker.png,秘密貓日常34 畫風崩壞中,
,融化了,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087454/android/sticker.png,秘密貓日常34 畫風崩壞中,
,等一下下,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087455/android/sticker.png,秘密貓日常34 畫風崩壞中,
,好爛,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087456/android/sticker.png,秘密貓日常34 畫風崩壞中,
,人設崩壞,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087457/android/sticker.png,秘密貓日常34 畫風崩壞中,
,這啥東東,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087458/android/sticker.png,秘密貓日常34 畫風崩壞中,
,好醜,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087459/android/sticker.png,秘密貓日常34 畫風崩壞中,
,你懂的,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087460/android/sticker.png,秘密貓日常34 畫風崩壞中,
,"蛤,我不懂",,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087461/android/sticker.png,秘密貓日常34 畫風崩壞中,
,你哪位,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087462/android/sticker.png,秘密貓日常34 畫風崩壞中,
,我是打雜的,,"雜物,書,紙箱",https://stickershop.line-scdn.net/stickershop/v1/sticker/572087463/android/sticker.png,秘密貓日常34 畫風崩壞中,
,我來插花的,,花,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087464/android/sticker.png,秘密貓日常34 畫風崩壞中,
,你有啥毛病,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087465/android/sticker.png,秘密貓日常34 畫風崩壞中,
,一團糟,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087466/android/sticker.png,秘密貓日常34 畫風崩壞中,
,問題大了,,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087467/android/sticker.png,秘密貓日常34 畫風崩壞中,
,完蛋了,緊張,,https://stickershop.line-scdn.net/stickershop/v1/sticker/572087468/android/sticker.png,秘密貓日常34 畫風崩壞中,
,睡不著,緊張,"枕頭,被子",https://stickershop.line-scdn.net/stickershop/v1/sticker/572087469/android/sticker.png,秘密貓日常34 畫風崩壞中,
